scenario,rep,method,SHD,F1,Precision,Recall,n_oriented,Dir_Prec,Dir_Rec,Dir_F1,Comm,Runtime
p20_phi0.1,15,local,1.6,0.9351727924531936,0.8825641018487735,0.9999999990909089,0,0.0,0.0,0.547354656101972,8000,0.9879982471466064
p20_phi0.1,16,local,1.4,0.9593277255307612,0.923976607650961,0.9999999993749998,0,0.0,0.0,0.4856766377549581,8000,1.1438910961151123
p20_phi0.1,17,local,11.4,0.7594961150580691,0.7383422516475537,0.7826086953119092,0,0.0,0.0,0.476885421320364,8000,2.6453402042388916
p20_phi0.1,18,local,5.2,0.8678779445985558,0.8434928225470765,0.8947368416343491,0,0.0,0.0,0.6793010700365627,8000,1.3090004920959473
p20_phi0.1,19,local,3.8,0.9126413583908555,0.8851684543371562,0.9428571424081632,0,0.0,0.0,0.7077487519318282,8000,1.5159687995910645
p20_phi0.2,0,local,27.6,0.6097642316940164,0.7014971719540906,0.5399999998649999,0,0.0,0.0,0.3615640929210827,8000,5.374145984649658
p20_phi0.2,1,local,24.6,0.6651117642712576,0.8039191691823694,0.567441860333153,0,0.0,0.0,0.22272045130002022,8000,7.303898334503174
p20_phi0.2,2,local,22.4,0.6723224527272883,0.7565628473593122,0.605263157735457,0,0.0,0.0,0.27368177296851715,8000,4.356368780136108
p20_phi0.2,3,local,33.6,0.5814723296767874,0.6605221384930184,0.5199999998844443,0,0.0,0.0,0.1698977181494079,8000,8.24420952796936
p20_phi0.2,4,local,18.2,0.7348218664318532,0.7506222941485009,0.7199999997942859,0,0.0,0.0,0.5035379238760384,8000,3.2164220809936523
p20_phi0.2,5,local,9.4,0.8457782425652016,0.8321908599465141,0.8599999997133334,0,0.0,0.0,0.6152247806676344,8000,2.2931995391845703
p20_phi0.2,6,local,25.8,0.6444648629392169,0.622255048405246,0.6685714283804082,0,0.0,0.0,0.22980403165337945,8000,7.014521598815918
p20_phi0.2,7,local,14.6,0.7326552463605104,0.7529757340708498,0.7142857140306121,0,0.0,0.0,0.4920467789599532,8000,2.8226988315582275
p20_phi0.2,8,local,21.2,0.6607484895991902,0.6808622826518812,0.6437499997988281,0,0.0,0.0,0.3325526214427332,8000,4.684269428253174
p20_phi0.2,9,local,38.0,0.5499700032521533,0.6768378249147202,0.4639999999072,0,0.0,0.0,0.12618135174772344,8000,8.733116149902344
p20_phi0.2,10,local,15.4,0.7543795938396236,0.7743656970801363,0.7374999997695312,0,0.0,0.0,0.4965986351835096,8000,3.555067300796509
p20_phi0.2,11,local,23.0,0.622802744676365,0.6550082099547081,0.5937499998144531,0,0.0,0.0,0.2165145861833171,8000,4.647557973861694
p20_phi0.2,12,local,13.0,0.792319503233019,0.8672413790069857,0.7294117644913495,0,0.0,0.0,0.35010232125986435,8000,5.601934909820557
p20_phi0.2,13,local,7.0,0.8848920061732605,0.9309391384041426,0.843749999736328,0,0.0,0.0,0.6471489313527395,8000,3.5642802715301514
p20_phi0.2,14,local,31.8,0.5954039158675261,0.6575635297315348,0.544186046385073,0,0.0,0.0,0.3221646864283435,8000,5.621049404144287
p20_phi0.2,15,local,27.4,0.6307422107451208,0.6653141451247035,0.5999999998461538,0,0.0,0.0,0.24378931661730796,8000,7.579741716384888
p20_phi0.2,16,local,39.4,0.43914471861216464,0.5899462757198382,0.34999999992045455,0,0.0,0.0,0.1838537612831936,8000,8.647671937942505
p20_phi0.2,17,local,27.0,0.5896461963769853,0.703947820551372,0.5105263156551245,0,0.0,0.0,0.3173955761662396,8000,5.322774887084961
